구별,강간,강도,경도,살인,위도,절도,폭력,강도검거율,강간검거율,살인검거율,절도검거율,폭력검거율
강남구,449,21,254.144213585464,13,75.002887211714,3850,4284,85.71428571428571,77.728285077951,76.92307692307693,42.857142857142854,86.48459383753502
강동구,156,6,127.12688982770432,4,37.52867274661258,2366,2712,100.0,78.84615384615384,75.0,33.34742180896027,82.89085545722715
강북구,153,14,127.02733870040592,7,37.637406561393085,1434,2649,92.85714285714286,82.35294117647058,100.0,43.09623430962343,88.63722159305398
강서구,262,13,126.849886071842,7,37.5513470867979,2096,3207,100.0,72.90076335877863,100.0,60.1145038167939,84.75210477081384
관악구,320,12,126.951062346192,9,37.4745875338795,2706,3298,100.0,69.0625,88.88888888888889,30.56171470805617,80.10915706488781
광진구,240,14,127.08396170505674,4,37.54292164557882,3026,2625,100.0,91.66666666666666,100.0,42.2009253139458,83.04761904761905
구로구,281,15,126.890224925815,8,37.5070387936593,2335,3007,73.33333333333333,58.362989323843415,75.0,38.07280513918629,80.87795144662454
금천구,151,6,126.89674921449216,3,37.45725314643252,1567,2054,100.0,80.79470198675497,100.0,56.66879387364391,86.46543330087634
노원구,197,7,127.071404832413,10,37.6423345266253,2193,2723,100.0,61.42131979695431,100.0,36.52530779753762,85.53066470804261
도봉구,102,9,127.05270598499143,3,37.65339041848567,1063,1487,100.0,100.0,100.0,44.96707431796801,87.62609280430397
동대문구,173,13,127.045762797538,5,37.5850804205685,1981,2548,100.0,84.39306358381504,100.0,41.090358404846036,87.40188383045526
동작구,285,9,126.942857105642,5,37.5131469479959,1865,1910,55.55555555555556,48.771929824561404,100.0,35.442359249329755,83.0890052356021
마포구,294,14,126.95394117396,8,37.5510118582052,2555,2983,71.42857142857143,84.01360544217688,100.0,31.81996086105675,84.44518940663761
서대문구,154,5,126.966790740735,2,37.5649023404956,1812,2056,80.0,80.51948051948052,100.0,40.728476821192054,83.21984435797665
서초구,393,9,253.9882900455079,8,74.97717031539159,2635,2399,66.66666666666666,63.358778625954194,75.0,41.40417457305503,87.45310546060858
성동구,126,9,127.036472076258,4,37.5617947420747,1607,1612,88.88888888888889,94.44444444444444,100.0,37.14996888612321,86.53846153846155
성북구,150,5,254.0563846534219,5,75.19359823239887,1785,2209,80.0,82.66666666666667,100.0,41.51260504201681,83.97464916251698
송파구,220,13,127.12716129352492,11,37.5019757297179,3239,3295,76.92307692307693,80.9090909090909,90.9090909090909,34.85643717196666,84.55235204855842
양천구,120,6,126.865542970902,3,37.5165549067037,1890,2509,50.0,87.5,100.0,35.55555555555556,80.90872857712236
영등포구,295,22,126.90094457988,14,37.52585220719,2964,3572,90.9090909090909,62.03389830508475,85.71428571428571,32.99595141700405,82.89473684210526
용산구,194,14,126.96777437089538,5,37.54117933635974,1557,2050,100.0,89.17525773195877,100.0,37.70070648683366,83.1219512195122
은평구,166,9,253.84994792636328,3,75.23068092638562,1914,2653,66.66666666666666,84.93975903614458,100.0,37.14733542319749,86.92046739540143
종로구,211,11,253.98310630369744,6,75.14374234920189,2184,2293,81.81818181818183,76.30331753554502,83.33333333333334,38.324175824175825,84.21282163105103
중구,170,9,253.96308195101253,3,75.11839495749442,2548,2224,66.66666666666666,65.29411764705883,66.66666666666666,33.712715855573,88.3093525179856
중랑구,187,11,127.10454224897,13,37.6182390801576,2135,2847,81.81818181818183,79.14438502673798,92.3076923076923,38.82903981264637,84.54513523006673
